Target_Name,Median_COS_SN,COS_Files_Verified,COS_Files_Total,Median_STIS_SN,STIS_Files_Verified,STIS_Files_Total,Median_FOS_SN,FOS_Files_Verified,FOS_Files_Total,Median_HRS1_SN,HRS1_Files_Verified,HRS1_Files_Total,Median_HRS2_SN,HRS2_Files_Verified,HRS2_Files_Total,Median_FUSE_SN,FUSE_Files_Verified,FUSE_Files_Total,Median_IUE_SN,IUE_Files_Verified,IUE_Files_Total
1ES1028+511,2.1251754760742188,10,18,10.890661239624023,1,2,,0,0,,0,0,,0,0,,0,0,,0,0
AV445,6.246872901916504,14,14,12.139715671539307,1,1,,0,2,,0,0,,0,3,,0,0,,0,0
2MASX-J05210136-2521450,0.7638628482818604,4,4,7.87022066116333,8,21,,0,0,,0,0,,0,0,,0,0,,0,0
3C263,5.766795873641968,12,12,,0,0,8.215947676270102e-08,7,7,,0,0,,0,0,1.0979502201080322,10,10,,0,0
3C273,14.80181360244751,7,7,6.230478286743164,7,7,2.736776712328861e-07,5,36,5.026532930129189e-07,11,18,4.865460239023189e-07,24,47,11.95893144607544,1,1,15.122952938079834,251,251
3C279,0.43740156292915344,10,10,,0,0,4.0448282614192983e-08,11,11,,0,0,,0,10,,0,0,2.432051658630371,23,23
AV75,10.001142024993896,300,316,10.366161823272705,2,25,7.65749298590081e-07,2,2,,0,0,,0,0,10.617128372192383,1,1,,0,0
3C48,1.2483674883842468,16,16,3.5997836589813232,13,34,,0,0,,0,9,,0,0,0.734843373298645,1,1,2.804077625274658,2,2
3C57,3.2251012325286865,12,12,,0,0,8.393047431278133e-08,4,4,,0,0,,0,0,0.9588395655155182,1,1,,0,0
AZV18,1.704594910144806,94,106,1.715193510055542,19,51,,0,4,,0,0,,0,0,1.930311381816864,1,1,,0,0
BD+31643,5.926390171051025,25,25,4.900485515594482,4,13,,0,0,,0,4,,0,16,,0,0,,0,0
AV200,7.60294771194458,4,33,11.791203498840332,1,11,,0,2,,0,0,,0,0,,0,0,,0,0
BD+631964,8.114123344421387,42,42,9.267460823059082,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
AV207,7.585021018981934,7,51,,0,12,4.388034156534871e-07,2,6,,0,0,,0,0,3.750873327255249,1,1,,0,0
AV234,8.242865562438965,6,200,4.544170379638672,4,217,,0,50,,0,5,,0,12,,0,0,,0,0
AV296,3.901695489883423,8,63,27.763826370239258,1,39,,0,10,,0,5,,0,23,,0,0,,0,0
BI184,8.985408782958984,8,49,4.3182618618011475,4,23,,0,0,,0,0,,0,0,4.590506553649902,1,1,,0,0
AV304,7.101191520690918,48,77,11.655240058898926,10,28,,0,0,,0,0,,0,0,4.895900726318359,1,1,7.441314220428467,1,1
AV314,5.445153713226318,10,36,11.086218357086182,1,28,,0,4,,0,2,,0,23,,0,0,,0,0
AV324,7.358957290649414,8,48,8.704673290252686,1,33,,0,14,,0,2,,0,23,,0,0,,0,0
AV343,4.883798599243164,11,276,7.536357641220093,1,20,,0,4,,0,0,,0,0,,0,0,,0,0
BI237,4.2310521602630615,8,8,4.468153953552246,5,7,,0,2,,0,0,,0,0,6.985527992248535,1,1,,0,0
AV393,7.520026922225952,6,50,9.902151584625244,1,16,,0,8,7.465968635963771e-07,2,3,,0,3,4.603600740432739,1,1,,0,0
AV440,7.140264511108398,7,27,53.568193435668945,1,2,,0,0,,0,0,,0,0,10.362968444824219,1,1,,0,0
AV476,8.535040855407715,13,44,52.50735855102539,1,31,,0,3,,0,3,,0,11,3.2040364742279053,1,1,,0,0
BI253,4.132375478744507,8,320,4.5584728717803955,6,297,,0,161,,0,72,,0,4,4.037813186645508,2,2,,0,0
CD-33-10685,0.43383073806762695,10,25,15.807649612426758,1,4,,0,0,,0,0,,0,0,,0,0,,0,0
CHX18N,0.43193522095680237,4,18,8.765655517578125,1,3,,0,0,,0,0,,0,0,,0,0,,0,0
FAIRALL9,6.579957008361816,7,7,,0,0,1.8641438937407672e-07,3,3,8.819065256549358e-08,2,4,3.4128237199311306e-07,12,22,1.7398990392684937,1,1,9.625575065612793,80,80
G191B2B,15.123802185058594,318,351,12.345363140106201,214,265,,0,638,,0,25,,0,20,,0,0,17.93657112121582,27,27
G29-38,6.725799083709717,1,23,,0,0,2.5322352958538593e-07,2,2,,0,0,,0,0,,0,0,2.472366690635681,1,1
G64-12,6.853954076766968,4,4,6.400978088378906,8,8,,0,0,,0,0,,0,0,,0,0,,0,0
GD153,21.68917465209961,10,10,5.570075511932373,185,186,,0,30,,0,0,,0,0,19.21916961669922,3,3,,0,0
GD50,0.8951784074306488,5,5,162.0663604736328,2,2,,0,0,,0,0,,0,0,13.406111717224121,4,4,,0,0
GD71,6.702638626098633,439,454,56.500423431396484,135,137,,0,20,,0,0,,0,0,12.414564609527588,3,3,,0,0
GJ1132,0.4171920269727707,5,5,0.7817307710647583,3,18,,0,0,,0,0,,0,0,,0,0,,0,0
GJ1214,0.40251997113227844,11,11,0.9096089005470276,7,7,,0,0,,0,0,,0,0,,0,0,,0,0
GJ163,0.4110807180404663,5,5,1.0737953186035156,4,4,,0,0,,0,0,,0,0,,0,0,,0,0
GJ176,0.43690380454063416,13,13,1.5828673839569092,5,5,,0,0,,0,0,,0,0,,0,0,,0,0
GJ436,0.41628842055797577,19,37,0.7708958685398102,10,55,,0,0,,0,0,,0,0,,0,0,,0,0
GJ581,0.42001086473464966,15,15,1.0032784342765808,10,10,,0,0,,0,0,,0,0,,0,0,,0,0
GJ581B,0.4225713610649109,7,15,1.0007715821266174,4,10,,0,0,,0,0,,0,0,,0,0,,0,0
GJ649,0.40503229200839996,5,5,0.8020250201225281,7,7,,0,0,,0,0,,0,0,,0,0,,0,0
GJ667C,0.41994425654411316,3,3,0.8418106138706207,6,6,,0,0,,0,0,,0,0,,0,0,,0,0
GJ674,1.0347259044647217,1,1,0.8805623650550842,6,12,,0,0,,0,0,,0,0,,0,0,,0,0
GJ676A,0.3936483860015869,8,8,1.729467749595642,12,12,,0,0,,0,0,,0,0,,0,0,,0,0
GJ699,0.39838361740112305,5,5,1.3967992067337036,8,13,,0,1,,0,0,,0,0,,0,0,,0,0
GJ832,0.4018912613391876,7,7,0.9406927824020386,6,11,,0,0,,0,0,,0,0,,0,0,,0,0
GJ849,0.4157671183347702,9,9,1.9293004274368286,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
GJ876,0.40714626014232635,7,7,2.4056782722473145,5,5,,0,0,,0,0,,0,0,,0,0,,0,0
H1504+65,9.75119686126709,11,11,,0,0,2.2906420056618478e-07,3,3,,0,0,,0,0,,0,0,15.054302215576172,1,1
H1821+643,7.630970239639282,8,8,1.8787257075309753,73,73,,0,6,2.407861190333678e-07,6,18,2.030494721724427e-07,2,13,2.848598599433899,8,8,12.560123443603516,9,9
HAT-P-11,0.4201076626777649,15,20,23.738478660583496,20,25,,0,0,,0,0,,0,0,,0,0,,0,0
HD103095,0.42444388568401337,8,8,17.837371826171875,5,5,,0,0,,0,0,3.162009337133077e-07,2,4,,0,0,,0,0
HD110058,2.340669274330139,15,15,4.697229862213135,7,7,,0,0,,0,0,,0,0,,0,0,,0,0
HD117555,1.4384515285491943,44,44,1.0283631086349487,1,1,,0,0,,0,0,,0,0,0.8058114051818848,1,1,,0,0
HD129333,0.7375988960266113,10,22,1.3322028517723083,2,2,,0,0,5.846742320768772e-07,4,8,,0,0,0.6125471591949463,2,2,2.8244508504867554,1,1
HD131488,2.196076989173889,12,12,7.705202579498291,4,4,,0,0,,0,0,,0,0,,0,0,,0,0
HD131873,1.6440299153327942,2,2,4.478305339813232,1,1,,0,0,9.365912447234744e-08,4,5,,0,0,0.7204474210739136,1,1,7.178867816925049,2,2
HD150798,3.236995220184326,2,2,2.911468505859375,4,4,,0,0,,0,0,3.315601561980593e-07,6,18,,0,0,9.099499225616455,9,9
HD164058,1.2684356570243835,2,2,1.2698733806610107,21,21,,0,6,,0,15,4.68788962315044e-07,10,31,0.6972025036811829,2,2,3.4321459531784058,3,3
HD172555,4.682549238204956,16,18,27.479862213134766,12,22,,0,0,,0,0,,0,0,0.6387017965316772,2,2,,0,0
HD187691,12.372900009155273,102,102,5.399818420410156,1,5,,0,0,,0,0,,0,0,,0,0,,0,0
HD199288,1.0160443782806396,13,13,9.15785551071167,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
HD201091,0.42806297540664673,2,2,2.2050671577453613,1,1,,0,0,7.128762739009722e-07,1,4,4.401403156490876e-07,1,4,0.605859249830246,1,1,2.096958875656128,2,2
HD204827,4.85526704788208,8,17,5.291550397872925,8,38,2.8402410696330764e-07,3,3,,0,0,,0,0,0.6659529507160187,3,3,,0,0
HD271791,11.964444160461426,18,18,5.382269382476807,8,8,,0,0,,0,0,,0,0,,0,0,,0,0
HD39587,1.2629704475402832,2,2,4.283620357513428,7,7,,0,0,,0,0,4.1432337336480716e-07,1,2,0.6283051371574402,1,1,,0,0
HD40307,0.5088191628456116,3,3,1.6461682319641113,4,4,,0,0,,0,0,,0,0,,0,0,,0,0
HD432,10.712606430053711,2,2,5.426459312438965,18,18,,0,0,1.103918268731106e-06,5,9,7.141566594421822e-06,2,3,2.1205815076828003,1,2,,0,0
HD72905,0.7408354878425598,2,16,1.5091497302055359,3,7,,0,0,,0,11,,0,4,0.7543282508850098,3,3,,0,0
HD78647,3.8289605379104614,2,2,,0,0,,0,0,,0,0,8.954873593509737e-07,12,30,,0,0,,0,0
HD82210,1.0031358003616333,2,2,3.5846402645111084,4,4,,0,0,,0,0,,0,0,0.6906485259532928,2,2,,0,0
HD84937,20.686450958251953,4,4,24.806819915771484,2,61,,0,0,,0,0,1.3855998673646131e-06,4,11,,0,0,,0,0
HD85512,0.5301249027252197,3,3,1.0428240895271301,4,4,,0,0,,0,0,,0,0,,0,0,,0,0
HD93205,5.649803161621094,10,10,32.95337677001953,6,121,,0,95,6.162985883506507e-06,1,30,,0,53,22.028456687927246,4,4,,0,0
HD97658,0.4335888922214508,3,17,1.4276065826416016,3,33,,0,0,,0,0,,0,0,,0,0,,0,0
HE0238-1904,3.1434719562530518,25,25,13.442734718322754,1,1,,0,0,,0,0,,0,0,1.0885939598083496,7,7,,0,0
HE0435-5304,1.264983057975769,13,13,6.415762901306152,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
HE0439-5254,1.6560470461845398,13,13,5.944973468780518,1,1,,0,0,,0,0,,0,0,,0,0,,0,0
HE2347-4342,1.6300102472305298,38,38,1.933021903038025,14,14,,0,5,,0,11,,0,0,0.7402450740337372,10,10,1.9267103672027588,1,1
HS0747+4259,1.8424277901649475,6,18,1.0411163568496704,12,12,,0,0,,0,0,,0,0,,0,0,1.9713767170906067,1,1
HS1700+6416,1.6006044149398804,24,83,1.0027101635932922,42,44,3.0940212211821525e-08,15,16,4.5563942797653916e-08,2,16,,0,0,0.7717104554176331,13,13,,0,0
IRAS08339+6517,3.5071046352386475,2,16,1.9592944383621216,4,7,,0,0,,0,11,1.0920615452468301e-07,2,4,1.5122096538543701,4,4,,0,0
IRAS13224-3809,1.0197709798812866,9,9,17.751437187194824,7,7,,0,0,,0,0,,0,0,,0,0,,0,0
KIC11560431,0.42329272627830505,10,10,1.6763747930526733,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
LBQS1435-0134,1.341562569141388,12,32,1.389392614364624,8,8,,0,4,,0,0,,0,0,,0,0,,0,0
LDS749B,4.2238898277282715,33,33,39.62632751464844,10,10,,0,4,,0,0,,0,0,,0,0,11.188802719116211,4,4
M-87,0.44407643377780914,8,68,2.0723211765289307,28,83,,0,71,,0,0,,0,0,,0,0,,0,0
MARK509,16.013111114501953,10,19,,0,41,,0,4,,0,0,3.348091244105581e-07,3,14,,0,0,,0,0
MR2251-178,5.875119686126709,8,16,14.392508506774902,6,6,1.3809013099983582e-07,4,4,,0,0,,0,0,,0,0,5.584535121917725,4,4
MRK-1044,3.2521482706069946,8,8,23.963420867919922,3,13,,0,0,,0,0,,0,0,,0,0,,0,0
MRK-110,2.4101191759109497,8,8,15.327461242675781,24,25,,0,0,,0,0,,0,0,,0,0,,0,0
MRK-231,0.7346004247665405,24,44,7.067868709564209,4,4,,0,7,,0,0,,0,0,,0,0,,0,0
MRK-279,1.0462414622306824,8,8,8.448029518127441,8,129,,0,0,,0,0,,0,8,,0,0,14.648141860961914,9,9
MRK-509,8.247611999511719,9,19,1.950226068496704,34,41,,0,4,,0,0,,0,14,,0,0,,0,0
MRK-817,2.0664299726486206,130,146,2.837338924407959,25,25,,0,0,,0,0,,0,6,,0,0,,0,0
MRK290,3.597732186317444,8,8,,0,6,,0,0,,0,0,,0,5,1.9357974529266357,3,3,,0,0
MRK335,3.012716054916382,13,40,1.7847170233726501,7,7,2.4488750190229905e-07,6,6,,0,0,,0,2,5.5838236808776855,2,2,,0,0
MRK421,8.021223068237305,8,12,,0,8,1.596008447532783e-07,3,36,,0,0,,0,2,4.285416603088379,4,4,,0,0
MRK486,1.224176049232483,3,3,,0,0,5.56313914370878e-08,3,3,,0,0,,0,0,0.6903019547462463,1,1,,0,0
MRK817,4.425775766372681,16,146,,0,25,,0,0,,0,0,,0,6,4.49558687210083,4,4,,0,0
MRK876,9.568963050842285,10,10,1.9585188031196594,10,11,,0,0,,0,0,,0,0,2.1236565113067627,5,5,10.531440734863281,5,5
NGC-3125,1.014957308769226,8,10,3.534819006919861,1,6,,0,0,,0,0,,0,0,,0,0,,0,0
NGC-3516,1.8069913387298584,16,16,28.067394256591797,3,17,,0,24,,0,0,,0,21,,0,0,,0,0
NGC-3783,3.833798408508301,38,38,28.75842571258545,3,42,,0,3,,0,0,,0,34,,0,0,,0,0
NGC-4395,0.7006624937057495,8,8,5.222548007965088,3,22,,0,11,,0,0,,0,0,,0,0,,0,0
NGC-5548,2.9741575717926025,450,450,30.472660064697266,3,35,,0,84,,0,3,,0,17,,0,0,,0,0
NGC-7469,3.251706838607788,59,59,21.001312255859375,17,31,,0,12,,0,0,,0,0,,0,0,,0,0
NGC6853,0.42093032598495483,4,4,14.681138038635254,2,2,,0,0,,0,0,,0,0,,0,0,1.4257635474205017,9,9
NGC7714,4.041037559509277,4,8,,0,0,,0,0,1.381429124389648e-07,2,3,,0,0,1.405306339263916,9,9,,0,0
PDS456,1.8160032033920288,21,21,14.1046781539917,2,2,,0,0,,0,0,,0,0,,0,0,,0,0
PG0043+039,0.8859178125858307,23,23,,0,0,5.4230919458204956e-08,3,3,,0,0,,0,0,,0,0,,0,0
PG0052+251,2.205678939819336,16,20,,0,0,,0,1,,0,0,,0,0,1.752845823764801,1,1,,0,0
PG0804+761,10.804423332214355,8,8,2.763864517211914,13,13,,0,0,,0,0,,0,0,4.916750907897949,4,4,,0,0
PG0832+676,10.537307739257812,8,12,7.325192451477051,4,4,,0,0,,0,0,,0,0,,0,0,,0,0
PG0923+201,3.4238879680633545,4,8,,0,0,,0,0,1.830201360907595e-07,4,6,,0,0,,0,0,,0,0
PG0953+414,6.4263200759887695,8,12,,0,16,1.1117969506161036e-07,6,8,,0,0,,0,6,4.270280838012695,2,2,,0,0
PG1001+054,0.8108963966369629,11,23,,0,0,6.60960708859475e-08,12,12,,0,0,,0,0,0.843425065279007,1,1,,0,0
PG1048+342,2.8353471755981445,9,9,19.968746185302734,1,3,,0,0,,0,0,,0,0,1.008422315120697,1,1,2.0625250339508057,1,1
PG1049-005,2.3206679821014404,10,10,4.087704658508301,2,2,7.135697782069745e-08,3,3,,0,0,,0,0,,0,0,,0,0
PG1115+080A1,1.3822569251060486,4,11,,0,5,3.586839297604297e-08,7,23,,0,0,,0,0,,0,0,,0,0
PG1115+407,3.242083191871643,8,12,,0,0,1.0123295840976635e-07,6,6,,0,0,,0,0,0.9265182316303253,1,1,,0,0
PG1116+215,7.044480562210083,8,8,1.7512518167495728,25,25,2.1986554162906447e-07,11,11,1.8725480509544177e-07,3,9,,0,0,2.9720386266708374,5,5,11.66149091720581,2,2
PG1148+549,1.5503944158554077,22,34,,0,0,9.499845801007838e-08,4,6,,0,0,,0,0,,0,0,,0,0
PG1202+281,1.2379056215286255,6,13,,0,0,5.2213318204070666e-08,3,7,,0,0,,0,0,0.7558524310588837,1,1,,0,0
