Target_Name,COS_Observations,COS_ASN_ID,COS_QUALCOM1,COS_QUALCOM2,COS_QUALCOM3,STIS_Median_FluxRatio,STIS_Observations,FOS_Median_FluxRatio,FOS_Observations,HRS1_Median_FluxRatio,HRS1_Observations,HRS2_Median_FluxRatio,HRS2_Observations,IUE_Median_FluxRatio,IUE_Observations,FUSE_Median_FluxRatio,FUSE_Observations
1ES1028+511,10,LBG801060;LBG801070;LBG801080;LBG801090;LBG8010A0;LBG802060;LBG802070;LBG802080;LBG802090;LBG8020A0,,,,0.29237463423454535,1,,0,,0,,0,,0,,0
AV445,14,LEMU4C010;LEMU4C020;LEMU4C030;LEMU4C040,,,,,1,,0,,0,,0,,0,,0
2MASX-J05210136-2521450,4,LDXW02010,,,,,8,,0,,0,,0,,0,,0
3C263,12,LB6810010;LB6810020;LB6810030;LB6810040;LB6811010;LB6811020;LB6811030;LB6811040;LB6811050,,,,,0,-0.06063496107127999,126,,0,,0,,0,-0.03346706250831939,10
3C273,7,LBGL31010;LBGL31020;LBGL31030;LBGL31040;LBGL31050,,,,-0.21419616831054078,7,-0.6413966321744078,80,-0.1748112837838455,44,-0.18912377223147617,96,-0.30374182755616697,251,-0.2323293539276157,1
3C279,10,LF1K10010;LF1K11010;LF1K11020,,,,,0,2.3211454517447505,100,,0,,0,2.3145554574096434,23,,0
AV75,296,LBXK01010;LBXK51010;LBXK51020;LBXK51030;LC3N01010;LC3N01020;LC3N01030;LC6A01010;LC6A01020;LC6A01030;LC6A01040;LC6A01050;LC6A01060;LCGH01010;LCGH01020;LCGH01030;LCGH01040;LCGH01050;LCGH01060;LCGH01070;LCGH01080;LCPT01010;LCPT01020;LCPT01030;LCRS01010;LCRS01020;LCRS01030;LCRS01040;LCRS01050;LCRS51010;LCRS51020;LCRS51030;LCRS51040;LCRS51050;LD2G01070;LD2G51010;LD2G51020;LD2G51030;LD2G51040;LD2G51050;LD2G51060;LD2G51070;LD2G51080;LDC301010;LDC301020;LDC301030;LDC301040;LDC301050;LDC301060;LDC301070;LDC301080;LDEJ3A010;LDEJ3A020;LDEJ3A030;LDEJ3A040;LDM701010;LDM701020;LDM701030;LDQ701010;LDQ701020;LDQ701030;LDQ701040;LDQ701050;LDQ701060;LDQ701070;LDQ701080;LDUH01010;LDUH01020;LDUH01050;LDUH01060;LDUH01070;LDUH01080;LDUH51010;LDUH51020;LDUH51030;LDUH51040;LDUH51050;LDUH51060;LDUH51070;LDUH51080;LE0R01010;LE0R01020;LE0R01030;LE0R01040;LE0R01050;LE0R01060;LE0R01070;LE0R01080;LEFC01010;LEFC01020;LEFC01030;LEFC01040;LEFC01050;LEFC01060;LEFC01070;LEFC01080;LEIJ01010;LEIJ01020;LEIJ01030;LEIJ01040;LEKO01010;LEKO01020;LEKO01030;LEKO01040;LEKO01050;LEKO01060;LEKO01070;LEKO01080;LETC01010;LETC01020;LF2301040;LF2301050;LF2301060;LF2301070;LF2301080;LF2301090;LF23010A0;LF2301010;LF2301020;LF2301030;LF4P01010;LF4P01020;LF4P01030;LF4P01040;LF4P01050;LF4P01060;LF4P01070;LF4P01080;LF4P01090;LF4P02010;LF4P02020;LF4P02030;LF4P02040;LFC901010;LFC901020;LFC901030;LFC901040;LFC901050;LFC901060;LFC901070;LFC901080;LFC901090;LFC9010A0;LFQW03010;LFQW04020,,,,-0.00532425969770743,2,0.04538638219592576,3,,0,,0,,0,0.01412897370196598,1
3C48,16,LCXV12030;LCXV12040;LCXV13030;LCXV13040;LCXV13050,,,,,13,,0,,0,,0,-0.2949395774847376,2,0.8277574835169061,1
3C57,12,LBGL18010;LBGL18020;LBGL18030;LBGL18040;LBGL28010;LBGL28020;LBGL28030;LBGL28040;LBGL28050,,,,,0,0.5730318710620101,44,,0,,0,,0,0.1141340261124829,1
AZV18,94,LAA004010;LAA004020;LAA004030;LAA004040;LAA004050;LAA004060;LAA004070;LAA004080;LAA004090;LAA0040A0;LAA005010;LAA005020;LAA005030;LAA005040;LAA005050;LAA005060;LAA005070;LAA005080;LAA0050B0;LAA0050C0;LAA0050D0;LAA0050E0;LAA0050F0;LAA0050G0;LAA0050H0;LAA0050I0;LAA0050J0;LAA0050K0;LAA0050L0;LAA0050M0;LAA0050O0;LAA0050P0;LAA0050R0;LAA0050S0;LAA102010;LAA102020;LAA102030;LAA102040;LAA102050;LAA102060;LAA102070;LAA102080;LAA102090;LAA103010;LAA103020;LAA103030;LAA103050;LAA103060;LAA103070;LAA103080;LAA103090;LAA1030A0;LAA1030B0;LAA104010;LAA104020;LAA104030;LAA104040;LAA104050;LAA104060;LAA104070;LAA104080;LAA110010;LAA110020;LAA110030;LAA110040;LAA110050;LAA110060;LAA110070;LAA110080;LAA110090;LAA1100A0;LAA1100B0;LAA1100C0;LAA1100D0;LAA1100E0;LAA1100F0;LAA1100G0;LAA1100H0;LAA1100I0;LAA1100J0;LAA1100K0;LAA1100L0;LAA1100M0;LAA1100N0;LAA1100O0;LAA1100P0;LAA1100Q0;LAA1100R0;LAA1100S0;LAA1100T0,,,,-0.17226681631869534,19,,0,,0,,0,,0,-0.3762337371161397,1
BD+31643,25,LB3S11010;LB3S11020;LB3S11030;LB3S11040;LB3S11050;LB3S11060;LB3S11070;LB3S11080;LB3S11090;LB3S110A0,,,,-0.33786156925249133,4,,0,,0,,0,,0,,0
AV200,4,LEMU1C010,,,,,1,,0,,0,,0,,0,,0
BD+631964,42,LB3S08010;LB3S08020;LB3S08030;LB3S08040;LB3S08050;LB3S08060;LB3S08070;LB3S08080;LB3S08090;LB3S080A0;LB3S080B0;LDYV02010;LDYV52010;LDYV52020;LDYV53010;LDYV53020,,,,0.025978169908073702,2,,0,,0,,0,,0,,0
AV207,7,LEA22C010;LEA22C020,,,,,0,-0.035795071396010805,3,,0,,0,,0,-0.034770362300948876,1
AV234,6,LE9P2C010;LE9P2C020,,,,0.07768642105096932,4,,0,,0,,0,,0,,0
AV296,8,LEUL1C010;LF3R2C010,,,,0.04808064551713182,1,,0,,0,,0,,0,,0
BI184,8,LDA920010;LDA920020,,,,0.14972764092145818,4,,0,,0,,0,,0,0.02239839735801268,1
